timestamp,can_id,signal_type,signal_name,raw_value,physical_value,unit,data_hex
1760049139.1553915,0x100,ENGINE,RPM,-5,-1.2940012759186343,rpm,fffb000000000000
1760049139.1553915,0x101,VEHICLE,Speed,-35,-0.35045766914281845,km/h,ffdd000000000000
1760049139.1553915,0x102,ENGINE,CoolantTemp,59,19.400957526708996,°C,3b00000000000000
1760049139.1553915,0x103,ENGINE,ThrottlePosition,0,0,%,0000000000000000
1760049139.1553915,0x104,FUEL,FuelLevel,192,75.0,%,c000000000000000
1760049139.1553915,0x105,ELECTRICAL,BatteryVoltage,1257,12.571853581023104,V,04e9000000000000
1760049139.255623,0x100,ENGINE,RPM,18,4.647177107883412,rpm,0012000000000000
1760049139.255623,0x101,VEHICLE,Speed,39,0.39231368852407844,km/h,0027000000000000
1760049139.255623,0x102,ENGINE,CoolantTemp,59,19.540190843099456,°C,3b00000000000000
1760049139.255623,0x103,ENGINE,ThrottlePosition,0,0,%,0000000000000000
1760049139.255623,0x104,FUEL,FuelLevel,192,75.0,%,c000000000000000
1760049139.255623,0x105,ELECTRICAL,BatteryVoltage,1258,12.586510399461385,V,04ea000000000000
1760049139.3559053,0x100,ENGINE,RPM,1,0.4545573346270516,rpm,0001000000000000
1760049139.3559053,0x101,VEHICLE,Speed,38,0.3837094232535334,km/h,0026000000000000
1760049139.3559053,0x102,ENGINE,CoolantTemp,59,19.113655228827504,°C,3b00000000000000
1760049139.3559053,0x103,ENGINE,ThrottlePosition,0,0,%,0000000000000000
1760049139.3559053,0x104,FUEL,FuelLevel,192,75.0,%,c000000000000000
1760049139.3559053,0x105,ELECTRICAL,BatteryVoltage,1268,12.689408557849774,V,04f4000000000000
1760049139.4564567,0x100,ENGINE,RPM,-42,-10.653637168069244,rpm,ffd6000000000000
1760049139.4564567,0x101,VEHICLE,Speed,7,0.07396908178187717,km/h,0007000000000000
1760049139.4564567,0x102,ENGINE,CoolantTemp,58,18.108708935631533,°C,3a00000000000000
1760049139.4564567,0x103,ENGINE,ThrottlePosition,0,0,%,0000000000000000
1760049139.4564567,0x104,FUEL,FuelLevel,192,75.0,%,c000000000000000
1760049139.4564567,0x105,ELECTRICAL,BatteryVoltage,1277,12.774167239891142,V,04fd000000000000
1760049139.556923,0x100,ENGINE,RPM,72,18.093382454853437,rpm,0048000000000000
1760049139.556923,0x101,VEHICLE,Speed,-33,-0.33043229022623716,km/h,ffdf000000000000
1760049139.556923,0x102,ENGINE,CoolantTemp,57,17.65041835258652,°C,3900000000000000
1760049139.556923,0x103,ENGINE,ThrottlePosition,0,0,%,0000000000000000
1760049139.556923,0x104,FUEL,FuelLevel,192,75.0,%,c000000000000000
1760049139.556923,0x105,ELECTRICAL,BatteryVoltage,1271,12.712103892514273,V,04f7000000000000
1760049139.657176,0x100,ENGINE,RPM,107,26.79481097192321,rpm,006b000000000000
1760049139.657176,0x101,VEHICLE,Speed,32,0.3292779691431711,km/h,0020000000000000
1760049139.657176,0x102,ENGINE,CoolantTemp,57,17.56885792508246,°C,3900000000000000
1760049139.657176,0x103,ENGINE,ThrottlePosition,0,0,%,0000000000000000
1760049139.657176,0x104,FUEL,FuelLevel,192,75.0,%,c000000000000000
1760049139.657176,0x105,ELECTRICAL,BatteryVoltage,1266,12.664281093226641,V,04f2000000000000
1760049139.757755,0x100,ENGINE,RPM,-50,-12.602905773063775,rpm,ffce000000000000
1760049139.757755,0x101,VEHICLE,Speed,-23,-0.23671302188594995,km/h,ffe9000000000000
1760049139.757755,0x102,ENGINE,CoolantTemp,57,17.474016712589734,°C,3900000000000000
1760049139.757755,0x103,ENGINE,ThrottlePosition,0,0,%,0000000000000000
1760049139.757755,0x104,FUEL,FuelLevel,192,75.0,%,c000000000000000
1760049139.757755,0x105,ELECTRICAL,BatteryVoltage,1267,12.67219563085447,V,04f3000000000000
1760049139.8579748,0x100,ENGINE,RPM,-28,-7.077637460266225,rpm,ffe4000000000000
1760049139.8579748,0x101,VEHICLE,Speed,-51,-0.5160306908298717,km/h,ffcd000000000000
1760049139.8579748,0x102,ENGINE,CoolantTemp,57,17.69237399743713,°C,3900000000000000
